Lemma,Gloss,Turkish lemmas (or gap),Target Gloss
hot,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning,sıcak,"Isısı yüksek olan, çok ısınmış."
pot,metal or earthenware cooking vessel that is usually round and deep; often has a handle and lid,tencere,"İçinde yemek pişirilen, kapaklı, genellikle metal kap."
"taste, savor, savour",have flavor; taste of something,"tatmak, tadına bakmak",Dil yardımıyla bir şeyin tadının nasıl olduğunu anlamak.
button,a round fastener sewn to shirts and coats etc to fit through buttonholes,düğme,"iyecek, yorgan vb.nin bazı yerlerine ilikleyici veya süs olarak dikilen kemik, metal, sedef gibi sert maddelerden yapılmış küçük tutturma aracı."
memory,something that is remembered,"anı, hatıra",Geçmişte yaşanmış çeşitli olaylardan belleğin sakladığı her türlü iz.
"string, twine",a lightweight cord,sicim,"Keten, kenevir vb. bitkilerin liflerinden yapılan, kaba şeyleri dikmeye, bağlamaya yarayan ince ip."
"rain, rainfall",water falling in drops from vapor condensed in the atmosphere,"yağmur, yağış",Atmosferdeki su buharının yoğunlaşmasıyla oluşan ve yeryüzüne düşen yağışın sıvı durumda olanı.
"annoy, rag, get to, bother, get at, irritate, rile, nark, nettle, gravel, vex, chafe, devil","cause annoyance in; disturb, especially by minor irritations","sinirlendirmek, sinirini bozmak, canını sıkmak, sinir etmek, kızdırmak, gıcık etmek, tahrik etmek, öfkelendirmek, sinirden kudurtmak, küplere bindirmek, kıl etmek, illet olmak, cinleri tepesine çıkarmak","Duygu ve davranışlarını denetleyemeyecek duruma gelmek; asabileşmek, feveran etmek."
pouch,a small or medium size container for holding or carrying things,kese,"Cepte taşınan, içine para, tütün vb. konulan, kumaştan veya örgüden küçük torba."
write,communicate or express by writing,yazmak,öz ve düşünceyi özel işaret veya harflerle anlatmak.
"fever, febrility, febricity, pyrexia, feverishness",a rise in the temperature of the body; frequently a symptom of infection,"ateş, ateşlilik, yüksek ateş, humma, pireksi,  hararet",Genellikle hastalık etkisiyle artan vücut sıcaklığı; hastalıkla gelen şiddetli ateş.
"ant, emmet, pismire",social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers,karınca,"Zar kanatlılardan, toplu olarak yaşayan, yuvaları toprağın altında olan ve birçok türü bulunan böceklerin genel adı (Formica)."
leather,an animal skin made smooth and flexible by removing the hair and then tanning,deri,İşlenerek kullanılır duruma getirilmiş hayvan postu.
goose,web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks,kaz,"Perde ayaklılardan, genellikle beyaz veya boz renkli, uzun boyunlu, suda ve karada yaşayan, uçan, yabani veya evcil kuş (Anser)."
cold,used of physical coldness; having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration,soğuk,"Isısı düşük olan, sıcak karşıtı."
"gather, garner, collect, pull together",assemble or get together,"toplamak, biriktirmek, bir araya getirmek",Toplayıp yığmak
give,transfer possession of something concrete or abstract to somebody,vermek,"Üzerinde, elinde veya yakınında olan bir şeyi birisine eriştirmek, iletmek."
shadow,shade within clear boundaries,gölge,Saydam olmayan bir cisim tarafından ışığın engellenmesiyle ışıklı yerde oluşan karanlık.
call,a request,çağrı,Birinin bir yere gelmesini isteme; davet.
"under, below",further down,"altında, aşağıda, alt, aşağı",Yere doğru
hole,an opening into or through something,delik,"Dar, küçük açıklık."
"keep, hold on",retain possession of,"tutmak, saklamak","Elinde bulundurmak, tutmak"
"happiness, felicity",state of well-being characterized by emotions ranging from contentment to intense joy,"mutluluk, saadet",Yaşadıklarından veya karşılaştıklarından dolayı hoşnutluk içinde bulunma durumu.
swan,stately heavy-bodied aquatic bird with very long neck and usually white plumage as adult,kuğu,"Perde ayaklılardan, yaban ve evcil türleri bulunan, çok uzun ve kıvrık boyunlu, geniş gagalı, geniş kanatlı bir su kuşu (Cygnus olor)."
"own, have, possess",have ownership or possession of,"sahip olmak, elinde bulundurmak",mülkiyetinde olmak
turn out,prove to be in the result or end,"sonuçlanmak, neticelenmek",bir işin bitmesi
"snow, snowfall",precipitation falling from clouds in the form of ice crystals,"kar, kar yağışı",Atmosferdeki su buharının yoğunlaşmasıyla oluşan ve yeryüzüne beyaz ve hafif billurlar biçiminde donarak düşen su buharı.
"buy, purchase",obtain by purchase; acquire by means of a financial transaction,"satın almak, almak",Bir nesneyi belirlenen fiyatını ödeyerek kendine mal etmek.
"become, go, get",enter or assume a certain state or condition,"girmek, geçmek, haline gelmek/girmek, dönmek, olmak","Durumdan duruma geçmek, değişmek, olduğundan daha değişik bir durum almak."
wait,stay in one place and anticipate or expect something,beklemek,"Bir iş oluncaya, biri gelinceye değin bir yerde kalmak, durmak."
"fail, betray","disappoint, prove undependable to; abandon, forsake","yüzüstü bırakmak, boşa çıkarmak, hayal kırıklığına uğratmak, ihanet etmek",beklenen bir durumda istenilen sonucun alınamaması
book,a written work or composition that has been published (printed on pages bound together),kitap,"Ciltli veya ciltsiz olarak bir araya getirilmiş, basılı veya yazılı kâğıt yaprakların bütünü."
"decrease, diminish, lessen, fall","decrease in size, extent, or range","azalmak, küçülmek, eksilmek, daralmak,  düşmek",Eskisinden az bir duruma gelmek.
"receive, have",get something; come into possession of,"teslim almak, almak, sahip olmak",kendisine verilen bir şeyi almak.
"get, acquire",come into the possession of something concrete or abstract,"edinmek, elde etmek, almak, sahip olmak",Kendini bir şeye sahip kılmak.
island,a land mass (smaller than a continent) that is surrounded by water,ada,Deniz veya göl suları ile çevrili kara parçası
"husband, hubby, married man",a married man; a woman's partner in marriage,"koca, eş, bey, er",Bir kadının evlendiği kişi.
"area, expanse, surface area",the extent of a 2-dimensional surface enclosed within a boundary,"alan, genişlik, yüzey alanı","Alan veya yüz ölçümü, bir yüzeyin uzayda kapladığı iki boyutlu yer miktarını ölçen bir büyüklüktür."
"meal, repast",the food served and eaten at one time,"yemek, öğün",Yemek vakti
length,the linear extent in space from one end to the other; the longest horizontal dimension of something that is fixed in place,uzunluk,İki nokta arasındaki yer aralığının ölçümü; bir yüzeyin iki temel boyutundan en büyük olanı.
"distance, length",size of the gap between two places,"uzaklık, mesafe, fersah",İki nokta arasındaki uzay ölçümü.
"head, caput",the upper part of the human body or the front part of the body in animals; contains the face and brains,"kafa, baş","Hayvanlarda genellikle ağız, göz, burun, kulak vb. organların bulunduğu vücudun en ön bölümü."
shake,bring to a specified condition by or as if by shaking,"sallamak, çalkalamak",Düzenli bir biçimde ve hep aynı doğrultuda hareket ettirmek.
"wipe, pass over",rub with a circular motion,"ovmak, üzerinden geçmek",Bir şeyin üzerine bastırarak el gezdirmek; bir yere bir şeyi kuvvetle sürterek temizlemek.
lake,a body of (usually fresh) water surrounded by land,göl,Karaların içinde denizlerle bağlantısı olmayan durgun su birikintisi
ash,the residue that remains when something is burned,kül,Yanan şeylerden artakalan toz madde.
increase,become bigger or greater in amount,artmak,çoğalmak
"land, ground, soil",material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use),"kara, arazi, toprak, zemin",Yeryüzünün denizle örtülü olmayan bölümü.
sweep,clean by sweeping,GAP,
"sweep, broom",sweep with a broom or as if with a broom,süpürmek,"Bir şeyin, bir yerin üstündeki çer çöp, toz toprak vb. şeyleri süpürge, fırça veya başka bir araçla toplamak, temizlemek."
"leash, tether, lead",restraint consisting of a rope (or light chain) used to restrain an animal,"tasma, yular, dizgin, kayış, zincir","Bazı hayvanların boynuna takılan, bu hayvanları bir yere bağlamaya, çekip götürmeye yarayan bağ"
hungry,feeling hunger; feeling a need or desire to eat food,"aç, acıkmış",Yemek yemesi gereken; tok karşıtı.
strong,having strength or power greater than average or expected,"güçlü, kuvvetli","Gücü, kuvveti olan."
jaw,the part of the skull of a vertebrate that frames the mouth and holds the teeth,çene,"Canlılarda baş bölümünde yer alan, kemik veya kıkırdak ile desteklenen, altlı üstlü dişleri taşıyan ve ağzın kapanıp açılmasını sağlayan kasları üzerinde barındıran iki parçaya verilen ad."
"height, tallness",the vertical dimension of extension; distance from the base of something to the top,"yükselik, boy","Geometrik biçimlerde, tabandan tepeye olan uzaklık."
mainland,the main land mass of a country or continent; as distinguished from an island or peninsula,"anakara, kıta",Yeryüzündeki altı büyük kara parçasından her biri.
"neck, cervix",the part of an organism that connects the head to the rest of the body,boyun,Gövdenin başla omuz arasında kalan bölgesi.
today,on this day as distinct from yesterday or tomorrow,bugün,içinde bulunulan gün
weak,having little physical or spiritual strength,zayıf,"Sağlamlığı, dayanıklılığı olmayan."
beat,hit repeatedly,"vurmak, dövmek",çarpmak
"allege, aver, say",report or maintain,"iddia etmek, ileri sürmek, öne sürmek, söylemek",Düşündüğünü veya bildiğini sözle anlatmak veya sözle savunmak.
"nape, scruff, nucha",the back side of the neck,ense,Boynun arkası
"dwell, live, inhabit",inhabit or live in,"yaşamak, yaşam sürmek, ikamet etmek",Bir yerde sürekli olarak kalmış ya da kalıyor olmak.
"throat, pharynx",the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone,"boğaz, ümük, gırtlak, yutak",Boynun ön bölümü ve bu bölümü oluşturan organlar; soluk borusunun üst bölümü
"flat, level, plane","having a surface without slope, tilt in which no part is higher or lower than another","düz, engebesiz",Yüzeyinde girinti çıkıntı olmayan
support,supporting structure that holds up or provides a foundation,destek,Bir şeyin yıkılmaması için konulan eğik veya düz ağaç.
gift,something acquired without compensation,"hediye, armağan","Birini sevindirmek, mutlu etmek, onurlandırmak, kutlamak için veya anı olarak verilen şey."
soup,liquid food especially of meat or fish or vegetable stock often containing pieces of solid food,çorba,"Sebze, tahıl, et vb. ile hazırlanan sulu bir yemek türü."
herd,"keep, move, or drive animals",gütmek,evcil bir hayvanı ya da evcil hayvan sürüsünü önüne katıp otlaklara götürmek ve onlara oralarda göz kulak olmak.
shoulder,the part of the body between the neck and the upper arm,omuz,"Boynun iki yanında, kolların gövdeye bağlandığı bölüm"
"fabric, cloth, material, textile",artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers,"kumaş, örtü, bez, çaput","Pamuk, yün, ipek vb.nden makinede dokunmuş her türlü dokuma"
"benefit, welfare",something that aids or promotes well-being,"fayda, yarar",Bir işten elde edilen iyi sonuç
"weather, weather condition, atmospheric condition",the meteorological conditions: temperature and wind and clouds and precipitation,"hava, hava durumu, hava şartları, hava koşulları","Belli bir yerde, belli bir anda sıcaklık, rüzgâr, nem, yağış gibi özellikler bakımından hava yuvarının durumu."
lid,a movable top or cover (hinged or separate) for closing the opening of a container,kapak,Her türlü kabın üstünü örtmeye veya bir deliği kapamaya yarayan nesne.
"wind, air current, current of air",air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure,"rüzgar, esinti, hava akımı",Yüksek basınç alanlarından alçak basınç alanlarına doğru meydana gelen yatay hava akımlarının genel adı.
"thorax, chest, pectus",the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates,"göğüs, bağır, göğüs kafesi, pektus",Memelilerde boyun ve diyafram arasındaki kısım ve diğer canlılarda bu bölgeye karşılık gelen yer.
cap,a tight-fitting headdress,kep,"Başlık, sipersiz şapka."
"moor, moorland",open land usually with peaty soil covered with heather and bracken and moss,"bozkır, kır","Şehir ve kasabaların dışında kalan, çoğu boş ve geniş yer; dağ bayır, sahra"
"breast, bosom, knocker, boob, tit, titty",either of two soft fleshy milk-secreting glandular organs on the chest of a woman,"göğüs, meme, meme ucu, meme başı","Yavrularını emzirmek için, memelilerin göğsünde türlü biçim ve sayıda bulunan, meme başı denilen çıkıntıları olan organ."
"mountain, mount",a land mass that projects well above its surroundings; higher than a hill,dağ,"Yer kabuğunun çıkıntılı, yüksek, eğimli yamaçlarıyla çevresine hâkim ve oldukça geniş bir alana yayılan bölümü."
"pass, hand, reach, pass on, turn over, give",place into the hands or custody of,"devretmek, vermek, iletmek, teslim etmek","Bir malın mülkiyetini, bir mal üzerindeki hakkı başkasına geçirmek"
"navel, umbilicus, bellybutton, omphalos, omphalus",scar where the umbilical cord was attached,"göbek, göbek deliği, göbek çukuru, umbilikus",İnsan ve memeli hayvanlarda göbek bağının düşmesinden sonra karnın ortasında bulunan çukurluk
bird,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings,kuş,"Yumurtlayan omurgalılardan, akciğerli, sıcakkanlı, vücudu tüylerle örtülü, gagalı, iki ayaklı, iki kanatlı uçucu hayvanların ortak adı."
"abdomen, venter, stomach, belly",the region of the body of a vertebrate between the thorax and the pelvis,"karın, karın boşluğu, mide, göbek",İnsan ve hayvanlarda gövdenin kaburga kenarlarından kasıklara kadar olan ön bölgesi
old,of long duration; not new,eski,"Çoktan beri var olan, üzerinden çok zaman geçmiş bulunan."
"natural elevation, elevation",a raised or elevated geological formation,"rakım, yükselti",Yer kabuğu üzerindeki bir yerin deniz seviyesine göre ölçülen yüksekliği
"back, dorsum",the posterior part of a human (or animal) body from the neck to the end of the spine,sırt,Omurgalı veya omurgasız hayvanlarda boyundan kuyruk sokumuna kadar uzanan üst bölüm.
"wish, wish well",feel or express a desire or hope concerning the future or fortune of,"dilemek, ummak",Bir şeyin gerçekleşmesini veya olmasını istemek.
"name, call",assign a specified (usually proper) proper name to,"isim vermek, ad takmak, ad koymak, adlandırmak","Çağırmak veya anmak için bir canlıya, bir yere, bir şeye ad vermek."
nest,a structure in which animals lay eggs or give birth to their young,"yuva, kuluçka","Kuşların ve başka hayvanların barınmak, yumurtlamak, kuluçkaya yatmak, yavrularını büyütmek veya yavrulamak için türlü şeylerden yaptıkları ve türlü biçimlerde hazırladıkları barınak."
"desire, want",feel or have a desire for; want strongly,"arzulamak, istemek","bir şeye karşı eğilim duymak, arzulamak."
new,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered,yeni,Oluş veya çıkışından beri çok zaman geçmemiş olan
leg,a structure in animals that is similar to a human leg and used for locomotion,bacak,Vücudun kasıktan tabana kadar olan bölümü; hayvanlarda yürümeye veya atlamaya yarayan organ.
"mail, post, send",cause to be directed or transmitted to another place,"göndermek, postalamak, yollamak, iletmek","Bir yere doğru yola çıkarmak, ulaşmasını, gitmesini sağlamak"
thigh,the part of the leg between the hip and the knee,uyluk,Kalçadan dize kadar olan bacak bölümü.
"fairytale, fairy tale, fairy story",a story about fairies; told to amuse children,"peri masalı, masal","Genellikle halkın yarattığı, hayale dayanan, sözlü gelenekte yaşayan, çoğunlukla insanlar, hayvanlar ile cadı, cin, dev, peri vb. varlıkların başından geçen olağanüstü olayları anlatan edebî tür."
"hide, pelt, skin",body covering of a living animal,"post, deri","hayvan vücudunu kaplayan tüy, kıl veya pulla kaplı tabaka."
"foot, human foot, pes",the part of the leg of a human being below the ankle joint,ayak,Bacakların bilekten aşağıda bulunan ve yere basan bölümü.
arm,a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb,kol,İnsan vücudunda omuz başından parmak uçlarına kadar uzanan bölüm.
"feather, plume, plumage",the light horny waterproof structure forming the external covering of birds,"kuş,kuştüyü",Kuşların gövdesini örten ince ve tel gibi uzantıların her biri veya tamamı.
"cargo, lading, freight, load, loading, payload, shipment, consignment",goods carried by a large vehicle,"kargo, yük, sevkiyat, gönderi, navlun, nakliye, parti, sevk, konsinye, mal","Araba, hayvan vb.nin taşıdığı şeylerin hepsi."
knock,rap with the knuckles,"çalmak, vurmak, tıklamak",Ses çıkarmak için bir şeyi başka bir şey üzerine hızlıca çarpmak.
old,(used especially of persons) having lived for a relatively long time or attained a specific age,"yaşlı, ihtiyar, yaş","Yaşı ilerlemiş, kocamış (kimse) veya uzun yılları geride bırakmış.; Doğuştan beri geçen ve yıl birimi ile ölçülen zaman."
"hand, manus, mitt, paw",the (prehensile) extremity of the superior limb,"el, pençe, pati","Kolun bilekten parmak uçlarına kadar olan, tutmaya ve iş yapmaya yarayan bölümü."
"palm, thenar",the inner surface of the hand from the wrist to the base of the fingers,"avuç, avuç içi, aya",Elin parmak uçlarıyla bilek arasındaki iç bölümü.
"opening, gap",an open or empty space in or between things,"açıklık, boşluk, aralık",İki şey arasındaki mesafe.
finger,any of the terminal members of the hand (sometimes excepting the thumb),parmak,"İnsanda ve bazı hayvanlarda ellerin ve ayakların son bölümünü oluşturan, boğumlu, oynak, uzunca organların her biri."
yesterday,on the day preceding today,dün,Bugünden bir önceki gün.
sell,exchange or deliver for money or its equivalent,satmak,Bir malı bir bedel karşılığında alıcıya vermek.
behind,in or to or toward the rear,arka,Geriye doğru
"fence, fencing",a barrier that serves to enclose an area,çit,"Bağ, bahçe, bostan vb. yerlerin çevresine çalı, kamış, ağaç dalı gibi şeylerden çekilen duvar türü."
add,"make an addition  (to); join or combine or unite with others; increase the quality, quantity, size or scope of",eklemek,"ek katmak, ek katarak bütünlemek ya da büyütmek; birleştirerek birbirine katmak, ek olarak kullanmak, ulamak."
"day, twenty-four hours, twenty-four hour period, 24-hour interval, solar day, mean solar day",time for Earth to make a complete rotation on its axis,"gün, yirmi dört saat, güneş günü, ortalama güneş günü",Yer yuvarlağının kendi ekseni etrafında bir kez dönmesiyle geçen 24 saatlik süre.
"part, piece",a portion of a natural object,"parça, bölüm","Bir bütünden ayrılan, ayrı sayılan veya artakalan şey."
"young, immature",(used of living things especially persons) in an early period of life or development or growth,genç,"Yaşı ilerlememiş olan, ihtiyar karşıtı"
"brother, blood brother",a male with the same parents as someone else,GAP,
"chew the fat, shoot the breeze, chat, confabulate, confab, chitchat, chatter, chaffer, natter, gossip, jaw, claver, visit",talk socially without exchanging too much information,"sohbet etmek, konuşmak,havadan sudan konuşmak, gevezelik etmek, laklak etmek, geyik yapmak, makara yapmak, çene çalmak, kaynatmak, laflamak, iki lafın belini kırmak, dedikodu yapmak, gıybet etmek, lakırdamak, yarenlik etmek, zevzeklik etmek","iki veya daha fazla kişi aralarında dostça, arkadaşça konuşmak,"
table,a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs,masa,Ayaklar veya bir destek üzerine oturtulmuş tabladan oluşan mobilya.
"sleep, slumber",a natural and periodic state of rest during which consciousness of the world is suspended,uyku,"Dış uyaranlara karşı bilincin, bütünüyle veya bir bölümünün yittiği, tepki gücünün zayıfladığı ve her türlü etkinliğin büyük ölçüde azaldığı dinlenme durumu"
"travel, go, move, locomote","change location; move, travel, or proceed","seyahat etmek, yolculuk etmek, dolaşmak, hareket etmek, gitmek, gezmek, gitmek",bir yerden başka bir yere gitmek
"surviving, living",still in existence,"sağ, sağ kalan, hayatta kalan, canlı","Yaşamakta olan, yaşayan."
understand,know and comprehend the nature or meaning of,anlamak,"Bir şeyin ne demek olduğunu, neye işaret ettiğini kavramak."
"pit, cavity",a sizeable hole (usually in the ground),"çukur, oyuk, boşluk",Çevresine göre aşağı çökmüş olan yer.
whistle,utter or express by whistling,GAP,
laughter,the activity of laughing; the manifestation of joy or mirth or scorn,"kahkaha, gülmek",Yüksek sesle gülme.
"knee, knee joint, human knee, articulatio genus, genu",hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella,"diz, diz eklemi, genu",insan bacağında kaval kemiği ve baldır kemiğini uyluk kemiği ile bağlayan eklem
"understand, read, interpret, translate",make sense of a language,"anlamak, okumak, yorumlamak, tercüme etmek, çevirmek",bir dilin anlamını çıkarmak
precipice,a very steep cliff,"sarp kayalık, uçurum, yar","Deniz, göl, ırmak vb. su kıyılarında veya karada dik yer."
pay,"give money, usually in exchange for goods or services",ödemek,"Bir alışveriş ilişkisinde, borcu alacaklıya vermek."
walk,the act of walking somewhere,yürüyüş,Yürümek işi
"sunday, lord's day, dominicus, sun",first day of the week; observed as a day of rest and worship by most Christians,Pazar,Cumartesi ile pazartesi arasındaki gün.
"groan, moan, sough","indicate pain, discomfort, or displeasure","inlemek, sızlanmak, uğuldamak, feryat etmek","Acı, üzüntü belirten sesler çıkarmak"
"know, cognize, cognise",be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about,"bilmek, tanımak, kavramak","Bir şey hakkında bilgi sahibi olmak, öğrenmiş bulunmak."
"tuesday, tues",the third day of the week; the second working day,Salı,Pazartesi ile çarşamba arasındaki gün
"roar, howl","make a loud noise, as of wind, water, or vehicles","kükremek, ulumak","Aslan, bağırmak; deniz, nehir kabarmak, taşmak; kızgınlık ve öfke ile yüksek sesle bağırmak."
"monday, mon",the second day of the week; the first working day,Pazartesi,Pazar ile salı arasındaki gün
"discontinue, stop, cease, give up, quit, lay off",put an end to a state or an activity,"kesmek, durdurmak, son vermek, sonlandırmak, engellemek, yarıda bırakmak, bırakmak",Bir şeyin gerçekleşmesini veya yapılmasını önlemek
"open, unfastened",affording unobstructed entrance and exit; not shut or closed,açık,"Engelsiz, serbest olan"
"thursday, th",the fifth day of the week; the fourth working day,Perşembe,Çarşamba ile cuma arasındaki gün.
"pay, pay off, make up, compensate",do or give something to somebody in return,"para vermek, ödemek, ücret ödemek","Bir işin, bir görevin karşılığını vermek"
"shut, unopen, closed",not open,kapalı,"Kapanmış olan, açılmamış, açık karşıtı."
"wednesday, midweek, wed",the fourth day of the week; the third working day,Çarşamba,Salı ile perşembe arasındaki gün.
lock,a fastener fitted to a door or drawer to keep it firmly closed,kilit,"Anahtar, düğme gibi takılıp çıkarılabilen bir parça yardımıyla çalışan kapatma aleti."
"saturday, sabbatum, sat",the seventh and last day of the week; observed as the Sabbath by Jews and some Christians,Cumartesi,Cuma ile pazar arasındaki gün.
"friday, fri",the sixth day of the week; the fifth working day,Cuma,Perşembe ile cumartesi arasındaki gün.
thunder,to make or produce a loud noise,gümbürdemek," ""Gümbür"" diye ses çıkarmak"
expensive,high in price or charging high prices,pahalı,Fiyatı yüksek olan
"noon, twelve noon, high noon, midday, noonday, noontide",the middle of the day,"öğle, öğle vakti, öğlen, gün ortası",Güneşin gökyüzünde en yüksek noktada bulunduğu sabahla ikindi arasındaki zaman dilimi.
"morning, morn, morning time, forenoon",the time period between dawn and noon,"sabah, öğleden evvel, öğleden önce",Güneşin doğduğu andan öğleye kadar geçen zaman dilimi.
"howl, wrawl, yammer, yowl","cry loudly, as of animals","ulumak, inlemek, sızlanmak","Köpek, kurt, çakal vb. hayvanlar uzun, iniltili, ağlar gibi bir ses çıkarmak."
"learn, larn, acquire",gain knowledge or skills,"öğrenmek, edinmek",Bilgi edinmek
bark,make barking sounds,havlamak,Köpek bağırmak; ürümek.
rainbow,an arc of colored light in the sky caused by refraction of the sun's rays by rain,"gökkuşağı, ebemkuşağı, eleğimsağma, yağmur kuşağı,  Meryem Ana kuşağı",Yağmur damlacıklarından geçen güneş ışınlarının kırılıp yansımasıyla gökyüzünde oluşan yedi renkli kemer biçimindeki görüntü.
toe,one of the digits of the foot,"parmak, ayak parmağı","İnsanda ve bazı hayvanlarda ellerin ve ayakların son bölümünü oluşturan, boğumlu, oynak, uzunca organların her biri"
"cheap, inexpensive",relatively low in price or charging low prices,ucuz,"Fiyatı yüksek olmayan, pahası az, düşük fiyatlı."
"evening, eve, even, eventide",the latter part of the day (the period of decreasing daylight from late afternoon until nightfall),"akşam, akşam vakti",Güneşin batmasına yakın zamandan gecenin başlamasına kadar geçen zaman dilimi
"night, nighttime, dark",the time after sunset and before sunrise while it is dark outside,"gece, gece vakti, karanlık",Akşamdan sonra başlayan ve gün ağarıncaya kadar geçen zaman dilimi
heel,the back part of the human foot,"topuk, ökçe, taban",İnsan ayağının toparlakça olan alt arka bölümü
milk,take milk from female mammals,süt,"Kadınların ve memeli dişi hayvanların yavrularını besledikleri, memelerinden gelen, besin değeri yüksek beyaz sıvı."
"run, go, pass, lead, extend","stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point","uzanmak, uzağa gitmek, ileri gitmek, kapsamak, ötesine uzanmak",Bir alana yayılmak
"go, go away, depart",move away from a place into another direction,"ayrılmak, uzaklaşmak, gitmek","Bir şeyden, bir yerden veya kimseden ayrılıp uzağa gitmek"
"king, male monarch, rex",a male sovereign; ruler of a kingdom,"kral, erkek hükümdar, hükümdar","En yüksek devlet otoritesini, bütün devlet başkanlığı yetkilerini kalıtım veya soylularca seçilme yoluyla elinde bulunduran kimse."
"elbow, elbow joint, human elbow, cubitus, cubital joint, articulatio cubiti",hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped,"dirsek, kubitus, dirsek eklemi",Kol ile ön kol arasındaki eklemin arka yanı.
"kiss, buss, osculate","touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc.","öpmek, buse kondurmak, değdirmek, yaslamak, temas etmek","Sevgi, saygı, bağlılık, teşekkür belirtmek amacıyla dudaklarını bir şeye veya birine değdirmek."
"address, speech",the act of delivering a formal spoken communication to an audience,"hitap etmek, seslenmek,konuşmak"," ... -e karşı söylemek, söz yöneltmek"
"ribbon, thread",any long object resembling a thin line,"şerit, bant, sicim","Herhangi bir maddenin dar, düz, ince ve uzun parçası."
"lick, lap",pass the tongue over,yalamak,Bir şeyin üzerinden dilini sürüp geçirmek.
"week, hebdomad",any period of seven consecutive days,hafta,Birbiri ardınca gelen yedi günlük dönem.
nail,horny plate covering and protecting part of the dorsal surface of the digits,tırnak,nsanda ve birçok omurgalı hayvanda parmak uçlarının dış bölümünü örten boynuzsu tabaka.
"hunger, hungriness",a physiological need for food; the consequence of food deprivation,açlık,Aç olma durumu
river,a large natural stream of water (larger than a creek),"nehir, ırmak","Çoğunlukla denize dökülen, özellikle genişliği ve taşıdığı su niceliği bakımından en büyük akarsu."
"rock, stone",a lump or mass of hard consolidated mineral matter,taş,"Kimyasal veya fiziksel durumu değişiklikler gösteren, rengini içindeki maden, tuz ve oksitlerden alan sert ve katı madde."
donate,give to a charity or good cause,"bağışlamak, bağışta bulunmak, bağış yapmak","Bir kimse, kuruluş veya ülke ayni veya nakdi varlıklarını kendi iradesi ile bir başka kişi, kurum veya tüzel kişiliklere karşılıksız olarak devretmek."
fingernail,the nail at the end of a finger,tırnak,İnsanda ve birçok omurgalı hayvanda parmak uçlarının dış bölümünü örten boynuzsu tabaka.
beautiful,delighting the senses or exciting intellectual or emotional admiration,güzel,"Göze ve kulağa hoş gelen, hayranlık uyandıran, çirkin karşıtı."
"fine-looking, good-looking, better-looking, handsome, well-favored, well-favoured",pleasing in appearance especially by reason of conformity to ideals of form and proportion,"hoş, güzel, iyi, yakışıklı, güzel","İstenilen, beğenilen nitelikleri taşıyan, beğenilecek biçimde olan."
rich,possessing material wealth,"zengin, varlıklı","Parası, malı çok olan."
"remember, retrieve, recall, call back, call up, recollect, think",recall knowledge from memory; have a recollection,"hatırlamak, anımsamak, çağrıştırmak, akla gelmek",Bilinip unutulan bir şeyi akla getirmek.
poor,having little money or few possessions,"fakir, yoksul","Geçinmekte çok sıkıntı çeken, geçimini güçlükle sağlayan (kimse, toplum, ülke)."
"forget, block, blank out, draw a blank",be unable to remember,"unutmak, hatırlamamak, aklından çıkmak, aklında kalmamak",belleğinde kalmamış olmak
"catch, grab, take hold of",take hold of so as to seize or restrain or stop the motion of,"yakalamak, tutmak","gitmesini engellemek, durdurmak"
sea,a division of an ocean or a large body of salt water partially enclosed by land,deniz,"Yer kabuğunun çukur bölümlerini kaplayan, birbiriyle bağlantılı, tuzlu su kütlesi."
"seashore, coast, seacoast, sea-coast",the shore of a sea or ocean,"kıyı, sahil",Kara ile suyun birleştiği yer
"stop, halt","come to a halt, stop moving","durdurmak, kesmek",Durmasını sağlamak; son vermek
butterfly,diurnal insect typically having a slender body with knobbed antennae and broad colorful wings,kelebek,"Pul kanatlılardan, vücudu, kanatları ince pullarla ve türlü renklerle örtülü, dört kanatlı, çok sayıda türleri olan böceklere verilen genel ad."
"better, improve, amend, ameliorate, meliorate",to make better,"geliştirmek, düzeltmek, değiştirmek, rötuş etmek, rötuşlamak",daha iyi hale getirmek
