Lemma,Gloss,Turkish lemmas (or gap),Target Gloss
"exclaim, cry, cry out, outcry, call out, shout","utter aloud; often with surprise, horror, or joy","haykırmak, ağlamak, hıçkırmak, bağırmak, feryat etmek","İnsan yüksek ve gür ses çıkarmak; bağırmak, feryat etmek"
"battle, conflict, fight, engagement",a hostile meeting of opposing military forces in the course of a war,"savaş, çatışma, kavga, muharebe, harp",Devletlerin diplomatik ilişkilerini keserek giriştikleri silahlı mücadele.
"picture, image, icon, ikon",a visual representation (of an object or scene or person or abstraction) produced on a surface,"resim, simge, şekil, görsel","Görünen şey, görüntü."
"smoke, smoking",a hot vapor containing fine particles of carbon being produced by combustion,duman,Bir maddenin yanması ile çıkan ve içinde katı zerrelerle buğu bulunan değişik renklerde gaz.
smell,inhale the odor of; perceive by the olfactory sense,koklamak,Kokusunu duymak için bir şeyi burnuna yaklaştırmak veya bir yerin havasını içine çekmek.
"rescue, deliver",free from harm or evil,kurtarmak,"Bir canlıyı bir felaketten, tehlikeden veya zor durumdan uzaklaştırmak; bir şeye zarar gelmesini önlemek."
claw,sharp curved horny process on the toe of a bird or some mammals or reptiles,pençe,Yırtıcı hayvanların ön ayaklarının parmaklarıyla tırnakları.
boot,footwear that covers the whole foot and lower leg,"bot, çizme","Uzun konçlu, kapalı ayakkabı."
fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,balık,"Omurgalılardan, suda yaşayan, solungaçla nefes alan ve yumurtadan üreyen hayvanların genel adı."
tail,the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body,kuyruk,"Hayvanların çoğunda, gövdenin sonunda bulunan, omurganın uzantısı olan uzun ve esnek organ."
"complete, finish",come or bring to a finish or an end,"tamamlamak, bitirmek",Tam ve eksiksiz duruma getirmek.
so,"in such a condition or manner, especially as expressed or implied","bu durumda, o şekilde, öyle, böyle",Bir şeyin içinde bulunduğu koşulların şu anki hali.
"search, seek, look for","try to locate or discover, or try to establish the existence of","aramak, araştırmak, bakmak",Birini veya bir şeyi bulmaya çalışmak.
"lie, prevarication",a statement that deviates from or perverts the truth,yalan,"Doğru olmayan, gerçeğe uymayan söz."
see,perceive by sight or have the power to perceive by sight,görmek,"Gözle algılamak, seçmek."
spoon,a piece of cutlery with a shallow bowl-shaped container and a handle; used to stir or serve or take up food,kaşık,Sulu veya bazı ufak taneli yiyecekleri ağza götürmeye yarayan saplı sofra aracı.
"bare, au naturel, naked, nude",completely unclothed,"çıplak, açık, nü, üryan, cıbıldak, yalıncak, cıbıl","Üstünde bulunması gereken giysi, örtü vb. bulunmayan."
look,perceive with attention; direct one's gaze towards,bakmak,Bakışı bir şey üzerine çevirmek.
"obstruct, blockade, block, hinder, stymie, stymy, embarrass",hinder or prevent the progress or accomplishment of,"engellemek, abluka altına almak, kuşatmak, bloke etmek, tıkamak, köstek olmak, aksatmak, ket vurmak, bozmak, mani olmak",Bir şeyin gerçekleşmesini veya yapılmasını önlemek.
"violence, force",an act of aggression (as one against a person who resists),"şiddet, güç",Duygu veya davranışta aşırılık.
"reason, ground",a rational motive for a belief or action,"neden, sebep, niçin, gerekçe",Bir şeyin olmasına veya belli bir hâlde bulunmasına yol açan şey
"freeze, frost",weather cold enough to cause freezing,"don, buz",Hava sıcaklığının sıfırdan aşağı düşmesiyle suların buz tutması.
pillow,a cushion to support the head of a sleeping person,yastık,"Başın altına koymak veya sırtı dayamak için kullanılan, içi yün, pamuk, kuş tüyü, ot vb. malzemeyle doldurulmuş küçük minder."
"look, appear, seem",give a certain impression or have a certain outward aspect,"görünmek, gözükmek",İzlenim uyandırmak
sound,give off a certain sound or sounds,ses,Kulağın duyabildiği titreşim.
"indicate, point, show","indicate a place, direction, person, or thing; either spatially or figuratively","işaret etmek, göstermek,göstermek","Bir şeyi, bir durumu el, yüz hareketleriyle anlatmak"
